ts,predicted_price,actual_price
2024-01-09 00:00:00,47.579611359975445,59.06
2024-01-09 01:00:00,50.34581103133424,53.78
2024-01-09 02:00:00,44.307241968557754,15.12
2024-01-09 03:00:00,43.032568437966326,32.51
2024-01-09 04:00:00,41.11342035706263,49.83
2024-01-09 05:00:00,50.20485419727988,46.0
2024-01-09 06:00:00,49.22422016188234,54.03
2024-01-09 07:00:00,53.465237801140326,36.46
2024-01-09 08:00:00,51.44041030239277,45.29
2024-01-09 09:00:00,53.08036118449564,44.93
2024-01-09 10:00:00,44.78046563527408,39.63
2024-01-09 11:00:00,60.00080050590534,55.85
2024-01-09 12:00:00,58.00179124369973,53.64
2024-01-09 13:00:00,60.99989570811419,60.85
2024-01-09 14:00:00,66.1992948908838,65.33
2024-01-09 15:00:00,76.94265350031081,93.6
2024-01-09 16:00:00,59.994241518457976,-29.52
2024-01-09 17:00:00,123.32929024561783,118.96
2024-01-09 18:00:00,115.36154229134357,106.44
2024-01-09 19:00:00,127.88396592994908,117.77
2024-01-09 20:00:00,99.63416091054872,103.53
2024-01-09 21:00:00,75.28461507088804,70.04
2024-01-09 22:00:00,71.75558229777765,61.92
2024-01-09 23:00:00,48.0671084526497,45.47
